,label,PCA_feature_2,PCA_feature_3,PCA_feature_9,PCA_feature_13,PCA_feature_14,PCA_feature_129,PCA_feature_136,PCA_feature_137,PCA_feature_138,PCA_feature_148,PCA_feature_149,PCA_feature_150,PCA_feature_163,PCA_feature_167
22,0.0,5.312152024223375,7.682810678766936,-1.8461991558614872,-0.3511761513312318,0.27623182984816314,-7.73686670285656e-16,-8.031769693772617e-16,4.2587461335230614e-16,5.551115123125783e-16,5.898059818321144e-17,-1.734723475976807e-17,-1.2923689896027213e-16,-2.220446049250313e-16,-3.469446951953614e-16
22,1.0,-1.2963227755230022,0.4674257582186938,0.6245325254853686,-0.3116541910798907,0.17806520582675378,2.636779683484747e-16,2.498001805406602e-16,-6.375108774214766e-17,-2.3592239273284576e-16,-3.677613769070831e-16,1.97758476261356e-16,-8.326672684688674e-17,1.8518173106052416e-16,7.28583859910259e-17
23,1.0,-2.575769421154228,2.2348903640998192,-0.11557996721579439,-0.4305228209236071,0.2430854729195203,2.3245294578089215e-16,9.378348791999613e-17,-2.0816681711721685e-17,-1.249000902703301e-16,-3.95516952522712e-16,3.209238430557093e-16,-6.931101200792489e-17,1.5959455978986625e-16,1.734723475976807e-16
23,0.0,-0.3631990493643875,-1.0192378430609015,1.05154493294578,0.4335938166795049,0.2508084021707179,1.249000902703301e-16,-1.700029006457271e-16,3.469446951953614e-18,-5.117434254131581e-17,-4.85722573273506e-17,1.0234868508263162e-16,1.0018028073766061e-16,-7.28583859910259e-17,9.8879238130678e-17
24,0.0,4.512703036674612,-0.7931244840047106,-0.252970720569422,-0.2251107749437938,-0.14291585264761003,8.500145032286355e-17,-5.689893001203927e-16,1.231653667943533e-16,2.5500435096859064e-16,-1.3877787807814457e-16,2.983724378680108e-16,9.974659986866641e-17,-2.461138931542095e-16,-1.5265566588595902e-16
24,1.0,-2.643113964971724,0.7788755797437334,0.5239929235805636,-0.4386123961494392,0.03041641601148068,3.469446951953614e-18,1.3183898417423734e-16,3.10623922417097e-17,-8.500145032286355e-17,-2.185751579730777e-16,1.3183898417423734e-16,2.5153490401663703e-17,3.365363543395006e-16,2.7755575615628914e-16
25,0.0,0.3318777704552622,-3.388888356803738,-0.6129842483103253,-0.3181151820837622,-0.418629002361994,-1.8735013540549517e-16,-2.5261910618912253e-16,-3.469446951953614e-17,2.255140518769849e-16,1.249000902703301e-16,-7.892991815694472e-17,2.7755575615628914e-16,-6.938893903907228e-17,-1.0755285551056204e-16
27,0.0,2.408488163976055,-0.6750415230298771,-0.7635478274919146,0.1818697222389149,1.1445211723245934,-1.0408340855860843e-16,-2.3158558404290375e-16,5.594483210025203e-17,2.740863092043355e-16,7.846913223363838e-17,1.48318857196017e-16,2.480654570646834e-16,-2.1163626406917047e-16,1.5612511283791264e-17
27,1.0,-2.3786835997246696,-3.1453889851254524,-0.4853664426572922,-0.2725928088563029,-0.8697352504411551,1.8323016715005025e-16,1.0018028073766061e-16,-2.5326962749261384e-16,-4.0939474033052647e-16,2.255140518769849e-16,8.326672684688674e-17,2.1196152472091612e-16,1.7867651802561113e-16,-2.393918396847994e-16
28,0.0,1.7405027972976859,-1.2315821465492045,1.2701907124860123,0.2775495024871531,1.06459639256239,-1.0842021724855044e-17,-3.5041414214731503e-16,-1.0928757898653885e-16,1.43982048506075e-16,-1.214306433183765e-16,-9.71445146547012e-17,-4.85722573273506e-17,-1.1796119636642288e-16,-4.85722573273506e-17
28,1.0,-1.5002218144058395,-2.604142438833949,-0.45540648240786163,-0.32255475740810235,0.15572785442493353,-9.627715291671279e-17,2.0469737016526324e-16,-1.3183898417423734e-16,3.0704605524789486e-16,2.8796409701215e-16,-8.153200337090993e-17,-4.85722573273506e-17,-4.85722573273506e-17,-1.734723475976807e-18
29,1.0,-1.272071910450281,0.3546408381416523,0.5200870305865744,-0.6008402161754839,0.08887795282538424,1.8388068845354155e-16,1.700029006457271e-16,-1.3444106938820255e-17,-1.0928757898653885e-16,-2.0946785972419946e-16,1.1102230246251565e-16,-2.0816681711721685e-17,1.5265566588595902e-16,1.5092094240998222e-16
29,0.0,2.6912112714676826,-2.566915060019025,-0.8267676420829757,0.3997778388973951,0.31634514435186467,-1.691355389077387e-16,1.6761765586625899e-16,1.2836953722228372e-16,-2.393918396847994e-16,3.712308238590367e-16,-1.6132928326584306e-16,1.1102230246251565e-16,-9.8879238130678e-17,-9.020562075079397e-17
30,0.0,4.986247117638655,-1.2671338082077088,-1.375921451368352,-0.14539823835559654,0.3186340314364745,-2.5717275531356165e-16,-3.5995512126518747e-16,2.3418766925686896e-16,1.5612511283791264e-16,4.0766001685454967e-17,6.938893903907228e-18,-7.806255641895632e-17,-2.7755575615628914e-17,-1.3183898417423734e-16
31,1.0,-2.2312171553231526,5.154443713281753,-1.7611107563869195,0.22756184338763297,-0.3372608795539389,-8.326672684688674e-17,0.0,1.3877787807814457e-16,4.163336342344337e-17,-6.800116025829084e-16,5.204170427930421e-16,-2.706168622523819e-16,2.5673907444456745e-16,-2.0816681711721685e-17
32,1.0,-0.40033203338814,0.6166665690831991,-0.2658437213637181,-0.5329028653930471,0.3642073712771309,-2.42861286636753e-16,1.9081958235744878e-17,5.724587470723463e-17,1.0408340855860843e-16,-3.226585665316861e-16,6.071532165918825e-18,-4.597017211338539e-17,1.1796119636642288e-16,1.214306433183765e-16
33,1.0,-1.0277134168732185,1.823611655392762,-0.10826750142103078,-0.3050991912520831,0.05124889667998025,-6.938893903907228e-17,1.3877787807814457e-16,7.28583859910259e-17,-2.3592239273284576e-16,-3.3306690738754696e-16,1.1796119636642288e-16,-9.020562075079397e-17,1.4192206437835253e-16,4.163336342344337e-17
34,1.0,-1.259084218854822,-2.2711661866312665,0.2245266837003841,-0.43138298604478165,-0.626932527890172,1.8041124150158794e-16,2.7755575615628914e-16,-1.0408340855860843e-16,-9.627715291671279e-17,1.5612511283791264e-16,-6.938893903907228e-17,1.3444106938820255e-17,1.0061396160665481e-16,6.591949208711867e-17
34,0.0,0.14726146710922872,1.0690654409418117,0.40731199115941247,1.9191174534098348,-0.3094469737578877,2.5153490401663703e-16,2.7755575615628914e-16,-1.9081958235744878e-17,-2.7755575615628914e-16,-3.8163916471489756e-17,2.0816681711721685e-17,-3.469446951953614e-18,-1.249000902703301e-16,-5.551115123125783e-17
35,0.0,2.212644810155958,-0.6100979163253135,0.43576260622097956,0.41065278436660324,0.6645115354713408,-1.8604909279851256e-16,-1.8041124150158794e-16,-2.6020852139652106e-18,-1.0364972768961422e-16,2.6020852139652106e-16,-2.177077962350893e-16,-1.700029006457271e-16,-2.5326962749261384e-16,-3.0531133177191805e-16
35,1.0,-1.5027777396860669,-0.16617778466624805,0.8958259737747584,-0.20275724334814554,0.2414484968430986,1.1275702593849246e-16,2.168404344971009e-17,-2.5153490401663703e-17,-4.163336342344337e-17,-1.474514954580286e-16,5.898059818321144e-17,-1.0234868508263162e-16,7.979727989493313e-17,1.4224732503009818e-16
36,0.0,2.9558431101196243,1.168151544578804,0.8819253529895464,-0.08219358084982432,0.9647005119318003,-8.326672684688674e-17,-3.7643499428696714e-16,3.469446951953614e-18,3.686287386450715e-16,-1.8735013540549517e-16,1.0408340855860843e-17,6.678685382510707e-17,-1.3010426069826053e-18,3.469446951953614e-18
37,1.0,-2.8832277388949046,1.0002878392254506,0.7227134797430173,-0.47357655056345027,0.49419083288932175,-1.2988742026376343e-16,2.667137344314341e-17,-1.491862189340054e-16,1.5460722979643293e-16,-2.8449465006019636e-16,-2.5153490401663703e-17,-1.3010426069826053e-17,3.2612801348363973e-16,1.4094628242311558e-16
37,0.0,6.262325089412414,-0.8944583590204721,-0.7125388319033271,-0.03954708733685024,-0.29676106407969477,-2.96637714392034e-16,-5.065392549852277e-16,1.5265566588595902e-16,6.513886652292911e-16,2.312603233911581e-16,-1.1102230246251565e-16,-2.498001805406602e-16,-1.8214596497756474e-16,-4.40619762898109e-16
38,1.0,-1.9816924034325767,-1.8366554912585216,0.41213788235210397,0.4247680212374319,-0.5375000128434075,1.6653345369377348e-16,1.682681771697503e-16,-1.0408340855860843e-16,2.2985086056692694e-17,8.326672684688674e-17,3.469446951953614e-18,-1.6479873021779667e-17,-9.80118763926896e-17,9.172350379227368e-17
39,1.0,-2.177634674214134,-0.2546278967913889,0.9424330080397662,0.21511532867439345,-0.18391257114543225,-5.204170427930421e-17,1.6653345369377348e-16,0.0,-1.4051260155412137e-16,-2.636779683484747e-16,6.245004513516506e-17,-2.498001805406602e-16,2.237793284010081e-16,8.500145032286355e-17
39,0.0,1.7933858453326166,-3.278979567409055,0.13874809094917892,-0.22887914085203978,0.45898773797915726,1.5959455978986625e-16,-3.0097452308197603e-16,-6.418476861114186e-17,1.0148132334464322e-16,2.1955093992831465e-16,-3.3306690738754696e-16,1.4224732503009818e-16,-5.204170427930421e-17,-1.0842021724855044e-16
40,1.0,-1.1843300907655991,-0.6874672392747075,0.8461517005688525,-0.29523370306041985,-0.007733260610898036,1.8041124150158794e-16,-4.85722573273506e-17,6.245004513516506e-17,-1.2793585635328952e-17,-2.7755575615628914e-17,-1.9081958235744878e-17,2.710505431213761e-17,5.898059818321144e-17,1.4354836763708079e-16
41,0.0,2.2443121842992992,-0.4552785020101582,-0.17175277045058832,-0.13248559778883778,-0.22451245811248088,2.896988204881268e-16,-1.2836953722228372e-16,2.5413698923060224e-16,-1.682681771697503e-16,-8.760353553682876e-17,1.0408340855860843e-16,-4.9873299934333204e-17,1.6653345369377348e-16,-1.8388068845354155e-16
41,1.0,-3.483746415411051,-1.5572049605310776,0.026785770183879586,0.4716875191567438,-0.5454443004184522,2.220446049250313e-16,5.2562121322097255e-16,-2.7755575615628914e-16,-9.486769009248164e-17,-1.5959455978986625e-16,6.245004513516506e-17,-9.540979117872439e-17,2.190088388420719e-16,1.1622647289044608e-16
42,1.0,-1.9702804898270734,-0.5424486663783481,0.9615987708750138,-0.14518460751584641,-0.0670358279429844,8.673617379884035e-17,9.194034422677078e-17,-7.632783294297951e-17,-7.45931094670027e-17,-1.5482407023093003e-16,5.551115123125783e-17,-3.642919299551295e-17,2.463307335887066e-16,1.9081958235744878e-17
42,0.0,-1.5640062397704075,-2.255829702072045,0.0727335644225642,-0.34032425697727003,-0.7658459068171419,1.968911145233676e-16,-3.5778671692021646e-17,0.0,3.2612801348363973e-16,3.191891195797325e-16,6.938893903907228e-18,7.806255641895632e-17,8.673617379884035e-17,-1.9081958235744878e-17
43,1.0,-6.225380006629856,0.9815287345906187,-2.1636020795187543,0.2162721502626228,0.7559741636663926,5.238864897449957e-16,4.948298715223842e-16,-1.6219664500383146e-16,-1.457167719820518e-16,8.847089727481716e-17,1.4137996329210978e-16,-1.3877787807814457e-16,1.6653345369377348e-16,2.185751579730777e-16
43,0.0,1.3494498088536302,-3.3789311457761695,-1.2263317624735426,-0.5321826614289337,-0.345221693808234,6.765421556309548e-17,3.8163916471489756e-17,1.1102230246251565e-16,-3.122502256758253e-17,4.2327252813834093e-16,-2.90132501357121e-16,1.2663481374630692e-16,3.0140820395097023e-17,4.85722573273506e-17
45,1.0,-3.3578885410885815,1.534743634099319,0.2259896073979163,0.4241667031626401,0.1305033554093975,1.222980050563649e-16,3.887948990533019e-16,-1.717376241217039e-16,-8.673617379884035e-17,-3.0531133177191805e-16,3.9855271860567143e-16,-1.0668549377257364e-16,-2.0816681711721685e-17,1.6653345369377348e-16
46,0.0,0.2642891753166408,-2.8767142112741735,-0.13201399392231206,0.09523678331270777,0.13469776456919907,-3.217912047936977e-16,2.445960101127298e-16,3.469446951953614e-17,2.42861286636753e-17,3.95516952522712e-16,-3.8163916471489756e-17,2.654126918244515e-16,1.196959198423997e-16,-9.020562075079397e-17
47,0.0,-0.07305731801507634,-2.969180095726324,-0.5669879972928149,0.03158343468218823,-0.042665363750143195,-3.3480163086352377e-16,5.967448757360216e-16,1.0408340855860843e-17,-4.718447854656915e-16,2.914335439641036e-16,-2.220446049250313e-16,2.0122792321330962e-16,-7.632783294297951e-17,-1.3877787807814457e-17
49,0.0,-1.821674938137098,6.11289344445641,-0.772692934836355,1.3082623949950647,-0.43071486701685746,1.496198998029996e-16,-2.7755575615628914e-17,-1.6653345369377348e-16,2.740863092043355e-16,-5.759281940243e-16,7.7021722333370235e-16,-3.157196726277789e-16,-1.960237527853792e-16,2.706168622523819e-16
50,0.0,2.686272932720585,-0.3264911471400564,-0.02605859368331504,-0.0584582337116147,0.37777153824862486,-3.469446951953614e-17,-4.85722573273506e-16,1.5612511283791264e-16,2.714842239903703e-16,-3.642919299551295e-17,7.632783294297951e-17,-1.1058862159352145e-16,-1.0711917464156784e-16,-1.5612511283791264e-16
50,1.0,-1.702020934487786,-0.9077087195804705,0.8273318995337875,-0.4253549006180486,-0.597865546600967,2.7755575615628914e-17,4.336808689942018e-17,-1.700029006457271e-16,3.903127820947816e-18,1.0061396160665481e-16,4.163336342344337e-17,6.245004513516506e-17,9.020562075079397e-17,7.806255641895632e-17
51,1.0,-2.3294036788167016,-1.8653973637746413,0.006258247043858567,-0.18895879279150823,-0.8708403070560464,1.43982048506075e-16,4.670742959067553e-16,-1.97758476261356e-16,-1.8908485888147197e-16,2.7755575615628914e-17,3.122502256758253e-17,5.0306980803327406e-17,1.0061396160665481e-16,-9.71445146547012e-17
51,0.0,1.852352475012905,-1.994781730439923,-1.2230349090805308,-0.17715071408906446,0.22512747493183002,4.5102810375396984e-17,2.5153490401663703e-17,1.2836953722228372e-16,-4.0245584642661925e-16,8.083811398051921e-16,-6.47051856539349e-16,3.365363543395006e-16,-1.942890293094024e-16,-4.718447854656915e-16
52,0.0,2.750652685765736,-0.8659222259765134,-0.7238366253940294,-0.01234221089080622,0.7077367685931727,-2.0816681711721685e-16,-1.0408340855860843e-16,-9.71445146547012e-17,-1.3877787807814457e-16,2.220446049250313e-16,-6.591949208711867e-17,2.463307335887066e-16,3.469446951953614e-17,9.71445146547012e-17
53,1.0,2.8305446353357153,4.311720355698222,1.586497000859691,-1.0123274383110805,0.38130559755449056,2.5396351688300456e-15,7.91033905045424e-16,5.48172618408671e-16,-5.689893001203927e-16,2.7755575615628914e-16,2.0816681711721685e-17,-3.469446951953614e-16,-3.885780586188048e-16,-2.220446049250313e-16
53,0.0,4.8395650327211515,-1.5649478598815887,-1.49536345667419,-0.23694506865182619,0.3698946995291043,-3.365363543395006e-16,-9.610368056911511e-16,3.712308238590367e-16,5.259735789270303e-16,-1.231653667943533e-16,9.71445146547012e-17,3.89011739487799e-16,-1.0018028073766061e-16,-5.065392549852277e-16
54,1.0,-1.367942657756898,-0.9840831499717243,0.8733633304037784,0.3195858192222404,-0.21292018498403603,2.393918396847994e-16,6.591949208711867e-17,-5.551115123125783e-17,1.0842021724855044e-16,-1.5265566588595902e-16,1.6653345369377348e-16,-9.974659986866641e-18,-1.942890293094024e-16,2.931682674400804e-16
54,0.0,0.05025355877830036,-0.10480362404175622,0.7485754339490029,-0.0034411207140364886,0.11037874772360329,1.0408340855860843e-16,-2.706168622523819e-16,1.249000902703301e-16,4.2500725161431774e-17,1.7889335846010823e-16,-1.3704315460216776e-16,-6.938893903907228e-17,-1.3964523981613297e-16,0.0
55,0.0,1.2067560679883753,-2.4062733987579015,0.20217912289295167,-0.17796515038351385,-0.5946592309828057,2.3592239273284576e-16,-7.632783294297951e-17,2.42861286636753e-17,5.898059818321144e-17,2.8449465006019636e-16,-6.938893903907228e-17,4.5102810375396984e-17,-8.326672684688674e-17,4.5211230592645535e-17
55,1.0,-1.4251880112619286,-2.1141689752924275,0.5199633986817136,-0.26185605327254663,-0.1902976483854953,1.1449174941446927e-16,-2.237793284010081e-16,-5.204170427930421e-17,2.0296264668928643e-16,1.4051260155412137e-16,7.632783294297951e-17,-3.0140820395097023e-17,9.71445146547012e-17,-1.1709383462843448e-17
56,1.0,-0.5333068259179556,1.8861224808340618,0.9257805384075085,-0.25295641936900126,-0.31149840637398923,6.938893903907228e-17,-3.5041414214731503e-16,-1.2351231148954867e-15,-7.042977312465837e-16,-3.157196726277789e-16,3.122502256758253e-17,-2.740863092043355e-16,-3.469446951953614e-18,1.8041124150158794e-16
56,0.0,0.9432962640416885,0.4191119318404565,0.15012449279849596,0.1904678319775783,0.3596536946703228,-2.3245294578089215e-16,-2.8449465006019636e-16,-1.0842021724855044e-16,5.984795992119984e-17,-2.949029909160572e-16,1.3183898417423734e-16,-1.3530843112619095e-16,-1.5439038936193583e-16,-3.2612801348363973e-16
57,1.0,-1.1362373084454664,0.06303547537472864,0.9447423531120992,-0.05308087718696229,0.30078872653507654,2.0296264668928643e-16,-3.0617869350990645e-16,-2.688821387764051e-16,-3.3133218391157016e-16,6.765421556309548e-17,1.0408340855860843e-17,-1.2533377113932431e-16,1.8388068845354155e-16,6.938893903907228e-17
58,0.0,-2.5742343303710973,-0.6555271228069534,-0.7288493019775113,1.4632077976062072,-0.40399110465170074,3.400058012914542e-16,9.055256544598933e-16,-3.9898639947466563e-17,-1.6306400674181987e-16,-1.249000902703301e-16,9.71445146547012e-17,4.163336342344337e-16,3.5735303605122226e-16,2.220446049250313e-16
59,1.0,-0.03877152474212875,2.7644445485791023,-0.2803681839867834,0.862160026447059,-0.75672269998793,3.122502256758253e-17,1.5959455978986625e-16,7.216449660063518e-16,-7.632783294297951e-17,-6.314393452555578e-16,3.3219954564955856e-16,-1.1449174941446927e-16,-2.498001805406602e-16,-1.3877787807814457e-17
61,0.0,-2.63859981981986,-2.940477934200123,-0.13430920829020992,0.5728028838768499,0.4551416217857744,-3.3133218391157016e-16,-4.757479132866393e-16,-3.0531133177191805e-16,1.5612511283791264e-16,-8.326672684688674e-17,3.191891195797325e-16,1.491862189340054e-16,6.938893903907228e-17,3.174543961037557e-16
62,0.0,0.1238788268694864,0.9391953470847958,0.7235736523569731,-0.4464057496886635,0.08947102280286312,7.28583859910259e-17,-2.654126918244515e-16,-3.469446951953614e-17,-1.0668549377257364e-16,-6.591949208711867e-17,-2.42861286636753e-17,1.43982048506075e-16,4.579669976578771e-16,-6.938893903907228e-18
